time,salePrice
13:20,175.34
13:21,175.21
13:22,175.46
13:23,175.445
13:24,175.58
13:25,175.47
13:26,175.74
13:27,175.715
13:28,175.78
13:29,175.88
13:30,175.855
13:32,175.785
13:33,176.03
13:34,176.0
13:35,176.12
13:36,175.955
13:37,176.02
13:38,176.05
13:39,176.07
13:40,176.02
13:41,175.95
13:42,175.87
13:43,176.04
13:44,176.185
13:45,176.07
13:46,176.015
13:47,175.91
13:48,175.93
13:49,175.89
13:50,176.32
13:51,176.35
13:52,176.32
13:53,176.48
13:54,176.435
13:55,176.9
13:56,177.065
13:57,177.12
13:58,176.995
13:59,177.23
14:00,177.085
14:01,177.085
14:02,177.085
