time,salePrice
12:09:03,165.205
12:10:01,165.11
12:11:03,165.135
12:12:03,165.08
12:13:01,165.005
12:14:03,165.045
12:15:00,164.895
12:16:05,165.0
12:17:03,164.9
12:18:05,164.76
12:19:03,164.83
12:20:05,164.75
12:21:01,164.765
12:22:04,164.6
12:23:01,164.58
12:24:00,164.56
12:25:03,164.66
12:26:00,164.7
12:27:05,164.75
12:28:02,164.69
12:29:05,164.57
12:30:02,164.475
12:31:01,164.68
12:32:05,164.77
12:33:03,164.805
12:34:00,164.78
12:35:02,164.82
12:36:05,164.71
12:37:02,164.725
12:38:04,164.8
12:39:00,164.78
12:40:03,164.885
12:41:01,164.98
12:42:05,164.905
12:43:02,164.815
12:44:03,164.69
12:45:04,164.605
12:46:03,164.65
12:47:02,164.73
12:48:03,164.54
12:49:02,164.64
12:50:02,164.755
12:51:01,164.89
12:52:01,164.97
12:53:04,164.91
12:54:03,164.98
12:55:05,164.97
12:56:01,165.015
12:57:00,164.99
12:58:00,164.96
12:59:01,164.96
13:00:09,165.05
13:01:00,165.0
13:02:00,165.07
13:03:02,165.32
13:04:03,165.21
13:05:02,165.12
13:06:01,165.13
13:07:02,165.12
13:08:06,165.23
13:09:04,165.15
13:10:02,165.19
13:11:02,165.2
13:12:03,165.16
13:13:06,165.17
13:14:04,165.19
13:15:03,165.25
13:16:02,165.3
13:17:01,165.4
13:18:00,165.32
13:19:00,165.375
13:20:01,165.36
13:21:01,165.47
13:22:00,165.53
13:23:05,165.57
13:24:01,165.37
13:25:00,165.35
13:26:01,165.32
13:27:04,165.365
13:28:00,165.34
13:29:02,165.265
13:30:01,165.27
13:31:07,165.18
13:32:05,165.07
13:33:04,164.91
13:34:04,164.91
13:35:04,164.915
13:36:01,165.02
13:37:01,165.065
13:38:04,165.15
13:39:13,165.015
13:40:23,164.905
13:41:01,164.78
13:42:00,164.825
13:43:02,164.765
13:44:03,164.6
13:45:06,164.6
13:46:05,164.85
13:47:10,164.79
13:48:03,164.76
13:49:14,164.895
13:50:31,164.8
13:51:02,164.835
13:52:02,164.88
13:53:01,165.04
13:54:05,165.05
13:55:22,165.155
13:56:04,165.12
13:57:00,165.11
13:58:45,164.93
14:00:12,164.95
14:01:33,165.02
14:02:04,165.02
14:03:00,165.02
14:04:02,165.02
14:05:00,165.02
14:06:01,165.02
14:07:02,165.02
14:08:00,165.02
14:09:03,165.02
14:10:01,165.02
14:11:01,165.02
14:12:03,165.02
14:13:05,165.02
14:14:03,165.02
14:15:02,165.02
14:16:05,165.02
14:17:00,165.02
14:18:03,165.02
14:19:06,165.02
14:20:04,165.02
14:21:05,165.02
14:22:01,165.02
14:23:02,165.02
14:24:03,165.02
14:25:04,165.02
14:26:05,165.02
14:27:01,165.02
14:28:04,165.02
14:29:03,165.02
14:30:05,165.02
14:31:03,165.02
